process_mode,loss_percent,quantity,is_anomaly,anomaly_type,reason,severity
TRANSFER,1.13,3022.24,False,,,low
RECYCLING,-41.96,1624.87,True,impossible_yield,Yield exceeds 100% - data entry error,high
MANUFACTURING,-44.98,760.51,True,impossible_yield,Yield exceeds 100% - data entry error,high
INWARD,0.0,405.64,False,,,low
QUALITY_CONTROL,9.35,156.09,False,,,low
BALING,44.67,248.34,True,high_loss,Unusually high loss (44.7%) for BALING,medium
TRANSFER,33.4,1072.48,True,process_mismatch,High loss (33.4%) for TRANSFER operation (should be <3%),high
RECYCLING,7.94,945.13,False,,,low
RECEIPT,0.0,1256.32,False,,,low
MANUFACTURING,3.5,890.38,False,,,low
RECEIPT,0.0,3226.85,False,,,low
RECEIPT,0.0,212.41,False,,,low
BALING,0.0,271.96,False,,,low
RECYCLING,11.2,2278.59,False,,,low
RECEIPT,0.0,1331.09,False,,,low
WASHING,6.81,1285.99,False,,,low
TRANSFER,0.67,304.1,False,,,low
RECYCLING,6.81,329.64,False,,,low
RECYCLING,5.96,340.39,False,,,low
BALING,0.39,2097.41,False,,,low
WASHING,2.29,1.95,True,extreme_quantity_low,Unusually small quantity (1.95kg) - inefficient processing,low
INWARD,0.0,1194.54,False,,,low
MANUFACTURING,2.84,1784.2,False,,,low
QC_FAIL,100.0,292.72,False,,,low
MANUFACTURING,3.18,1215.29,False,,,low
QUALITY_CONTROL,11.69,2065.5,False,,,low
QC_PASS,-10.44,464.52,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
PRODUCTION,6.5,1.22,True,extreme_quantity_low,Unusually small quantity (1.22kg) - inefficient processing,low
INWARD,0.0,184.01,False,,,low
PRODUCTION,3.9,1357.06,False,,,low
TRANSFER,0.91,710.49,False,,,low
INWARD,0.0,592.93,False,,,low
PRODUCTION,41.48,585.55,True,high_loss,Unusually high loss (41.5%) for PRODUCTION,medium
QUALITY_CONTROL,11.67,1167.37,False,,,low
INWARD,0.0,221.29,False,,,low
RECEIPT,0.0,209.53,False,,,low
TRANSFER,1.35,2119.76,False,,,low
WASHING,-46.13,1283.5,True,impossible_yield,Yield exceeds 100% - data entry error,high
PRODUCTION,-20.64,1628.69,True,impossible_yield,Yield exceeds 100% - data entry error,high
QUALITY_CONTROL,0.0,1259.39,False,,,low
PRODUCTION,5.14,1229.03,False,,,low
QUALITY_CONTROL,10.97,826.99,False,,,low
SEGREGATION,7.99,579.46,False,,,low
TRANSFER,24.38,1537.69,True,process_mismatch,High loss (24.4%) for TRANSFER operation (should be <3%),high
MANUFACTURING,-35.26,1427.53,True,impossible_yield,Yield exceeds 100% - data entry error,high
MIXING,2.51,388230.24,True,extreme_quantity_high,Unusually large quantity (388230kg) for single processing batch,medium
MIXING,49.28,588.64,True,high_loss,Unusually high loss (49.3%) for MIXING,medium
BALING,0.59,664.17,False,,,low
QC_PASS,0.0,584.31,False,,,low
MIXING,2.69,180759.3,True,extreme_quantity_high,Unusually large quantity (180759kg) for single processing batch,medium
BALING,0.73,357.82,False,,,low
BALING,78.25,1279.39,True,high_loss,Unusually high loss (78.3%) for BALING,high
WASHING,6.0,1590.22,False,,,low
WASHING,6.64,659.04,False,,,low
MIXING,1.21,126.74,False,,,low
TRANSFER,1.2,4884.13,False,,,low
PRODUCTION,2.37,5000.0,False,,,low
PRODUCTION,4.55,219687.33,True,extreme_quantity_high,Unusually large quantity (219687kg) for single processing batch,medium
BALING,0.81,285.78,False,,,low
INWARD,0.0,619.66,False,,,low
RECYCLING,8.69,561.34,False,,,low
RECEIPT,0.0,327.93,False,,,low
INWARD,0.0,609.59,False,,,low
BALING,0.0,373.91,False,,,low
WASHING,6.99,111759.59,True,extreme_quantity_high,Unusually large quantity (111760kg) for single processing batch,medium
QC_PASS,0.0,868.44,False,,,low
WASHING,-15.12,228.33,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
INWARD,0.0,373.84,False,,,low
BALING,1.44,658.76,False,,,low
QUALITY_CONTROL,6.64,851.0,False,,,low
SEGREGATION,9.77,744.92,False,,,low
TRANSFER,33.94,1086.59,True,process_mismatch,High loss (33.9%) for TRANSFER operation (should be <3%),high
QUALITY_CONTROL,1.75,3251.8,False,,,low
QUALITY_CONTROL,3.35,241573.71,True,extreme_quantity_high,Unusually large quantity (241574kg) for single processing batch,medium
SEGREGATION,19.02,565.74,False,,,low
TRANSFER,1.31,805.84,False,,,low
BALING,4.47,3.83,True,extreme_quantity_low,Unusually small quantity (3.83kg) - inefficient processing,low
BALING,0.86,227.6,False,,,low
QC_PASS,0.0,1564.05,False,,,low
TRANSFER,26.96,1743.03,True,process_mismatch,High loss (27.0%) for TRANSFER operation (should be <3%),high
PRODUCTION,-38.59,1172.41,True,impossible_yield,Yield exceeds 100% - data entry error,high
SEGREGATION,10.26,1373.66,False,,,low
QUALITY_CONTROL,6.99,483.59,False,,,low
RECYCLING,9.06,469.36,False,,,low
WASHING,2.63,675.87,False,,,low
SEGREGATION,11.36,958.15,False,,,low
MIXING,-8.53,901.92,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_FAIL,100.0,163.12,False,,,low
QUALITY_CONTROL,0.0,677.54,False,,,low
MANUFACTURING,5.72,0.39,True,extreme_quantity_low,Unusually small quantity (0.39kg) - inefficient processing,low
QC_PASS,0.0,535.77,False,,,low
MIXING,2.04,451.72,False,,,low
PRODUCTION,0.16,232.21,False,,,low
TRANSFER,19.62,1719.3,True,process_mismatch,High loss (19.6%) for TRANSFER operation (should be <3%),high
BALING,-8.1,1830.03,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QUALITY_CONTROL,23.5,112.75,False,,,low
TRANSFER,1.29,721.53,False,,,low
WASHING,6.4,1281.51,False,,,low
RECEIPT,0.0,266.49,False,,,low
QUALITY_CONTROL,31.41,701.09,False,,,low
MIXING,2.19,591.18,False,,,low
QC_FAIL,100.0,330.08,False,,,low
SEGREGATION,11.18,1158.14,False,,,low
MANUFACTURING,2.95,5000.0,False,,,low
QC_FAIL,100.0,1338.35,False,,,low
PRODUCTION,3.66,1881.81,False,,,low
TRANSFER,75.19,590.08,True,high_loss,Unusually high loss (75.2%) for TRANSFER,high
MIXING,-23.66,1074.18,True,impossible_yield,Yield exceeds 100% - data entry error,high
BALING,0.56,354.34,False,,,low
MIXING,0.0,589.0,False,,,low
RECEIPT,0.0,1230.56,False,,,low
TRANSFER,0.94,945.36,False,,,low
TRANSFER,0.71,179.98,False,,,low
RECEIPT,0.0,4936.24,False,,,low
RECYCLING,5.56,470.54,False,,,low
RECYCLING,4.58,559.98,False,,,low
RECYCLING,6.69,560.54,False,,,low
QC_PASS,6.33,1.16,True,extreme_quantity_low,Unusually small quantity (1.16kg) - inefficient processing,low
WASHING,5.15,297.22,False,,,low
TRANSFER,1.02,350.11,False,,,low
MIXING,1.2,722.22,False,,,low
MANUFACTURING,5.71,5000.0,False,,,low
MIXING,5.84,1.24,True,extreme_quantity_low,Unusually small quantity (1.24kg) - inefficient processing,low
TRANSFER,0.43,569.7,False,,,low
SEGREGATION,11.23,411.45,False,,,low
PRODUCTION,0.79,1305.07,False,,,low
SEGREGATION,13.16,402.07,False,,,low
RECEIPT,0.0,1243.42,False,,,low
BALING,0.85,175.32,False,,,low
BALING,0.59,138.29,False,,,low
RECEIPT,0.0,1436.55,False,,,low
INWARD,7.47,2.3,True,extreme_quantity_low,Unusually small quantity (2.30kg) - inefficient processing,low
TRANSFER,22.27,667.07,True,process_mismatch,High loss (22.3%) for TRANSFER operation (should be <3%),high
BALING,0.25,1885.73,False,,,low
RECYCLING,3.87,1049.78,False,,,low
MANUFACTURING,-10.37,748.95,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,682.26,False,,,low
TRANSFER,33.42,966.2,True,process_mismatch,High loss (33.4%) for TRANSFER operation (should be <3%),high
RECEIPT,0.0,1672.57,False,,,low
MANUFACTURING,3.83,158067.47,True,extreme_quantity_high,Unusually large quantity (158067kg) for single processing batch,medium
BALING,0.41,229.7,False,,,low
MANUFACTURING,6.29,4.47,True,extreme_quantity_low,Unusually small quantity (4.47kg) - inefficient processing,low
PRODUCTION,3.61,409.97,False,,,low
QC_FAIL,100.0,803.01,False,,,low
WASHING,7.81,4426.79,False,,,low
QC_PASS,0.0,1631.66,False,,,low
MIXING,2.3,1295.34,False,,,low
WASHING,4.97,961.64,False,,,low
INWARD,49.42,1218.9,True,high_loss,Unusually high loss (49.4%) for INWARD,medium
QC_PASS,0.0,485.56,False,,,low
QC_FAIL,100.0,237.77,False,,,low
RECEIPT,0.0,135.37,False,,,low
SEGREGATION,12.36,610.59,False,,,low
QUALITY_CONTROL,10.93,672.64,False,,,low
TRANSFER,36.33,1931.1,True,process_mismatch,High loss (36.3%) for TRANSFER operation (should be <3%),high
RECEIPT,0.0,581.3,False,,,low
WASHING,8.8,2392.46,False,,,low
MIXING,2.87,889.27,False,,,low
SEGREGATION,7.55,1650.38,False,,,low
MANUFACTURING,3.19,309.56,False,,,low
INWARD,0.0,747.21,False,,,low
MANUFACTURING,4.75,1096.91,False,,,low
INWARD,0.0,2346.55,False,,,low
QC_FAIL,100.0,1476.82,False,,,low
SEGREGATION,8.18,1355.66,False,,,low
QUALITY_CONTROL,-22.73,1014.62,True,impossible_yield,Yield exceeds 100% - data entry error,high
RECEIPT,0.0,135.94,False,,,low
TRANSFER,0.48,1320.0,False,,,low
TRANSFER,-20.43,1690.94,True,impossible_yield,Yield exceeds 100% - data entry error,high
BALING,0.45,514.76,False,,,low
MIXING,75.36,328.54,True,high_loss,Unusually high loss (75.4%) for MIXING,high
QC_PASS,0.0,349.85,False,,,low
MANUFACTURING,70.23,370.5,True,high_loss,Unusually high loss (70.2%) for MANUFACTURING,high
MANUFACTURING,0.98,298.05,False,,,low
QUALITY_CONTROL,28.92,1138.92,False,,,low
RECYCLING,13.32,683.97,False,,,low
PRODUCTION,2.67,388.26,False,,,low
WASHING,0.0,297.89,False,,,low
TRANSFER,37.43,814.65,True,process_mismatch,High loss (37.4%) for TRANSFER operation (should be <3%),high
QC_FAIL,100.0,188.0,False,,,low
WASHING,-9.46,1087.38,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
TRANSFER,18.44,1543.93,True,process_mismatch,High loss (18.4%) for TRANSFER operation (should be <3%),high
TRANSFER,18.27,1628.4,True,process_mismatch,High loss (18.3%) for TRANSFER operation (should be <3%),high
RECYCLING,9.47,1336.38,False,,,low
BALING,0.43,267.84,False,,,low
QUALITY_CONTROL,31.98,867.54,False,,,low
SEGREGATION,11.23,299.27,False,,,low
TRANSFER,23.58,1865.25,True,process_mismatch,High loss (23.6%) for TRANSFER operation (should be <3%),high
MANUFACTURING,4.14,928.6,False,,,low
TRANSFER,1.09,138.15,False,,,low
PRODUCTION,3.51,343.7,False,,,low
QUALITY_CONTROL,4.64,942.71,False,,,low
QC_PASS,0.0,231.56,False,,,low
INWARD,0.0,358.37,False,,,low
RECEIPT,3.98,186222.01,True,extreme_quantity_high,Unusually large quantity (186222kg) for single processing batch,medium
PRODUCTION,2.24,696.94,False,,,low
RECEIPT,0.0,100.0,False,,,low
SEGREGATION,2.5,263.5,False,,,low
QC_PASS,-21.05,270.94,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
WASHING,8.36,412.15,False,,,low
BALING,-17.61,1082.79,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QUALITY_CONTROL,18.32,5000.0,False,,,low
RECYCLING,10.5,652.99,False,,,low
MIXING,0.26,409.09,False,,,low
MANUFACTURING,3.36,387111.68,True,extreme_quantity_high,Unusually large quantity (387112kg) for single processing batch,medium
SEGREGATION,7.22,0.44,True,extreme_quantity_low,Unusually small quantity (0.44kg) - inefficient processing,low
MANUFACTURING,3.27,945.38,False,,,low
TRANSFER,0.96,2685.62,False,,,low
MANUFACTURING,3.45,358.25,False,,,low
TRANSFER,34.62,1575.0,True,process_mismatch,High loss (34.6%) for TRANSFER operation (should be <3%),high
QUALITY_CONTROL,27.43,734.17,False,,,low
MIXING,1.57,2704.18,False,,,low
TRANSFER,19.2,1169.43,True,process_mismatch,High loss (19.2%) for TRANSFER operation (should be <3%),high
QUALITY_CONTROL,3.75,907.83,False,,,low
PRODUCTION,2.61,724.99,False,,,low
QC_PASS,0.0,686.61,False,,,low
MIXING,0.0,581.31,False,,,low
WASHING,7.3,786.83,False,,,low
QUALITY_CONTROL,-29.87,469.76,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MANUFACTURING,2.92,491.81,False,,,low
RECEIPT,0.0,389.99,False,,,low
PRODUCTION,2.52,2464.56,False,,,low
QC_PASS,0.0,2381.16,False,,,low
PRODUCTION,52.55,708.08,True,high_loss,Unusually high loss (52.5%) for PRODUCTION,high
RECEIPT,78.74,101.03,True,high_loss,Unusually high loss (78.7%) for RECEIPT,high
QC_PASS,2.8,0.96,True,extreme_quantity_low,Unusually small quantity (0.96kg) - inefficient processing,low
QC_PASS,40.53,365.34,True,high_loss,Unusually high loss (40.5%) for QC_PASS,medium
MANUFACTURING,5.04,1222.2,False,,,low
RECYCLING,7.11,485772.94,True,extreme_quantity_high,Unusually large quantity (485773kg) for single processing batch,medium
SEGREGATION,12.86,217.18,False,,,low
QC_FAIL,100.0,244.46,False,,,low
PRODUCTION,1.21,470.99,False,,,low
TRANSFER,0.54,244.01,False,,,low
TRANSFER,37.57,1649.46,True,process_mismatch,High loss (37.6%) for TRANSFER operation (should be <3%),high
BALING,0.31,648.31,False,,,low
SEGREGATION,-7.08,474.07,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
PRODUCTION,0.0,1745.25,False,,,low
WASHING,0.0,203.31,False,,,low
QUALITY_CONTROL,23.6,1047.98,False,,,low
TRANSFER,37.19,1799.08,True,high_loss,Unusually high loss (37.2%) for TRANSFER,medium
QC_PASS,0.0,1147.56,False,,,low
INWARD,0.0,559.35,False,,,low
MIXING,4.32,263649.94,True,extreme_quantity_high,Unusually large quantity (263650kg) for single processing batch,medium
PRODUCTION,2.12,548.32,False,,,low
MIXING,1.14,1139.01,False,,,low
RECYCLING,5.09,635.07,False,,,low
INWARD,6.85,2.68,True,extreme_quantity_low,Unusually small quantity (2.68kg) - inefficient processing,low
MIXING,0.0,3434.61,False,,,low
QUALITY_CONTROL,19.48,585.91,False,,,low
WASHING,-25.92,1803.51,True,impossible_yield,Yield exceeds 100% - data entry error,high
BALING,0.0,1612.22,False,,,low
MIXING,3.8,336.03,False,,,low
BALING,-25.74,468.16,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
TRANSFER,0.0,2021.94,False,,,low
TRANSFER,34.63,1949.37,True,process_mismatch,High loss (34.6%) for TRANSFER operation (should be <3%),high
MIXING,40.31,504.02,True,high_loss,Unusually high loss (40.3%) for MIXING,medium
BALING,1.22,791.37,False,,,low
BALING,0.38,577.72,False,,,low
PRODUCTION,2.91,503.44,False,,,low
WASHING,6.58,721.57,False,,,low
WASHING,-8.65,713.7,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_FAIL,100.0,478.94,False,,,low
QC_PASS,0.0,140.72,False,,,low
SEGREGATION,6.78,4.17,True,extreme_quantity_low,Unusually small quantity (4.17kg) - inefficient processing,low
TRANSFER,4.35,495317.81,True,extreme_quantity_high,Unusually large quantity (495318kg) for single processing batch,medium
RECEIPT,0.0,807.27,False,,,low
MANUFACTURING,3.9,322.15,False,,,low
MANUFACTURING,3.42,507.02,False,,,low
PRODUCTION,1.06,537.83,False,,,low
BALING,0.44,1068.34,False,,,low
SEGREGATION,3.82,986.64,False,,,low
PRODUCTION,1.98,947.53,False,,,low
MANUFACTURING,4.77,630.71,False,,,low
QC_FAIL,6.3,294406.54,True,extreme_quantity_high,Unusually large quantity (294407kg) for single processing batch,medium
BALING,0.39,427.6,False,,,low
PRODUCTION,3.47,1451.94,False,,,low
RECEIPT,0.0,821.72,False,,,low
TRANSFER,43.12,145.71,True,high_loss,Unusually high loss (43.1%) for TRANSFER,medium
INWARD,4.21,0.43,True,extreme_quantity_low,Unusually small quantity (0.43kg) - inefficient processing,low
SEGREGATION,9.33,702.54,False,,,low
QUALITY_CONTROL,5.42,253190.9,True,extreme_quantity_high,Unusually large quantity (253191kg) for single processing batch,medium
WASHING,-11.04,1393.05,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
MIXING,79.34,1585.84,True,high_loss,Unusually high loss (79.3%) for MIXING,high
QC_FAIL,100.0,2575.7,False,,,low
INWARD,2.23,0.55,True,extreme_quantity_low,Unusually small quantity (0.55kg) - inefficient processing,low
QUALITY_CONTROL,-32.88,1897.23,True,impossible_yield,Yield exceeds 100% - data entry error,high
QC_FAIL,100.0,754.54,False,,,low
INWARD,0.0,751.46,False,,,low
RECEIPT,0.0,5000.0,False,,,low
MANUFACTURING,0.85,866.18,False,,,low
RECEIPT,6.72,99936.05,True,extreme_quantity_high,Unusually large quantity (99936kg) for single processing batch,medium
PRODUCTION,1.75,275.61,False,,,low
QUALITY_CONTROL,8.48,519.48,False,,,low
BALING,0.31,152.59,False,,,low
RECEIPT,0.0,428.4,False,,,low
MANUFACTURING,3.01,696.66,False,,,low
RECEIPT,75.05,1498.23,True,high_loss,Unusually high loss (75.1%) for RECEIPT,high
SEGREGATION,6.03,0.15,True,extreme_quantity_low,Unusually small quantity (0.15kg) - inefficient processing,low
PRODUCTION,-19.53,408.33,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,581.35,False,,,low
RECEIPT,0.0,646.73,False,,,low
QC_PASS,0.0,394.01,False,,,low
RECEIPT,0.0,1777.72,False,,,low
RECYCLING,6.96,509.39,False,,,low
MIXING,3.07,421913.67,True,extreme_quantity_high,Unusually large quantity (421914kg) for single processing batch,medium
QUALITY_CONTROL,6.05,228.32,False,,,low
RECEIPT,0.0,896.79,False,,,low
WASHING,4.06,410.72,False,,,low
QUALITY_CONTROL,15.69,1326.15,False,,,low
BALING,0.8,1209.49,False,,,low
PRODUCTION,0.94,471.92,False,,,low
RECEIPT,0.0,730.31,False,,,low
SEGREGATION,4.27,237.82,False,,,low
WASHING,40.8,491.84,True,high_loss,Unusually high loss (40.8%) for WASHING,medium
TRANSFER,0.69,289.41,False,,,low
SEGREGATION,11.02,599.98,False,,,low
WASHING,10.96,192.01,False,,,low
PRODUCTION,1.44,748.33,False,,,low
QC_PASS,0.0,263.6,False,,,low
INWARD,6.4,2.34,True,extreme_quantity_low,Unusually small quantity (2.34kg) - inefficient processing,low
INWARD,0.0,198.13,False,,,low
INWARD,0.0,611.57,False,,,low
TRANSFER,1.12,488.42,False,,,low
SEGREGATION,11.81,2606.76,False,,,low
SEGREGATION,9.82,2003.75,False,,,low
TRANSFER,1.01,374.93,False,,,low
QC_PASS,3.85,0.36,True,extreme_quantity_low,Unusually small quantity (0.36kg) - inefficient processing,low
TRANSFER,1.85,750.79,False,,,low
INWARD,0.0,1736.17,False,,,low
RECYCLING,5.83,270.67,False,,,low
INWARD,0.0,189.73,False,,,low
QC_PASS,0.0,749.21,False,,,low
RECYCLING,2.09,3.3,True,extreme_quantity_low,Unusually small quantity (3.30kg) - inefficient processing,low
QUALITY_CONTROL,16.4,694.45,False,,,low
BALING,0.19,554.34,False,,,low
MIXING,0.78,1704.84,False,,,low
RECEIPT,0.0,280.85,False,,,low
RECYCLING,7.92,468.63,False,,,low
PRODUCTION,59.93,1213.73,True,high_loss,Unusually high loss (59.9%) for PRODUCTION,high
BALING,0.28,209.1,False,,,low
SEGREGATION,12.04,1273.3,False,,,low
TRANSFER,39.78,1321.91,True,process_mismatch,High loss (39.8%) for TRANSFER operation (should be <3%),high
TRANSFER,21.02,1232.94,True,process_mismatch,High loss (21.0%) for TRANSFER operation (should be <3%),high
WASHING,6.59,1074.06,False,,,low
BALING,0.26,1499.29,False,,,low
MANUFACTURING,1.44,225.2,False,,,low
BALING,36.47,398.0,True,high_loss,Unusually high loss (36.5%) for BALING,medium
TRANSFER,1.75,1963.02,False,,,low
WASHING,11.58,231.2,False,,,low
QC_FAIL,100.0,1292.58,False,,,low
RECEIPT,0.0,1150.05,False,,,low
INWARD,0.0,384.88,False,,,low
SEGREGATION,10.13,2142.66,False,,,low
TRANSFER,0.8,202.73,False,,,low
RECYCLING,5.47,836.99,False,,,low
TRANSFER,0.96,634.77,False,,,low
QC_FAIL,100.0,405.58,False,,,low
QC_FAIL,100.0,249.1,False,,,low
TRANSFER,1.4,204.11,False,,,low
INWARD,0.0,288.18,False,,,low
INWARD,0.0,2495.71,False,,,low
INWARD,-11.03,620.52,True,impossible_yield,Yield exceeds 100% - data entry error,high
QUALITY_CONTROL,-8.99,569.59,True,negative_loss,Negative loss - more output than input (data entry error or fraud),high
QC_PASS,0.0,557.01,False,,,low
SEGREGATION,5.03,3.92,True,extreme_quantity_low,Unusually small quantity (3.92kg) - inefficient processing,low
INWARD,58.48,1526.06,True,high_loss,Unusually high loss (58.5%) for INWARD,high
BALING,0.48,495.27,False,,,low
WASHING,5.17,518.89,False,,,low
RECEIPT,0.0,629.7,False,,,low
MIXING,1.07,106.84,False,,,low
INWARD,0.0,650.29,False,,,low
MANUFACTURING,0.99,741.11,False,,,low
PRODUCTION,2.6,801.46,False,,,low
PRODUCTION,2.6,163.71,False,,,low
PRODUCTION,1.39,463.68,False,,,low
WASHING,5.11,726.08,False,,,low
RECYCLING,4.27,654.63,False,,,low
QC_FAIL,100.0,360.38,False,,,low
QC_PASS,0.0,443.66,False,,,low
RECYCLING,0.92,754.82,False,,,low
QC_FAIL,100.0,100.0,False,,,low
QC_FAIL,4.23,127111.91,True,extreme_quantity_high,Unusually large quantity (127112kg) for single processing batch,medium
INWARD,0.0,675.65,False,,,low
MIXING,0.71,278.46,False,,,low
PRODUCTION,4.02,652.28,False,,,low
SEGREGATION,10.92,268.61,False,,,low
RECEIPT,0.0,160.15,False,,,low
MANUFACTURING,5.65,1.97,True,extreme_quantity_low,Unusually small quantity (1.97kg) - inefficient processing,low
WASHING,3.24,1466.87,False,,,low
QUALITY_CONTROL,30.0,705.99,False,,,low
MANUFACTURING,0.84,440.48,False,,,low
QUALITY_CONTROL,31.63,585.19,False,,,low
TRANSFER,0.94,430.64,False,,,low
INWARD,0.0,216.61,False,,,low
BALING,0.42,586.62,False,,,low
TRANSFER,1.35,148.41,False,,,low
BALING,0.34,1430.59,False,,,low
