process_mode,input_quantity,source_material,source_state,source_grade,scenario,yield_percent,loss_percent,output_quantity
INWARD,223.58,MIXED,SORTED,Premium,SCN-4,99.78,0.22,223.1
WASHING,326.97,PRODUCT,SORTED,Premium,SCN-2,99.31,0.69,324.7
INWARD,1808.08,PVC,WASHED,Rejected,SCN-4,99.92,0.08,1806.62
INWARD,5701.49,GRANULE,SORTED,Grade A,SCN-1,99.98,0.02,5700.46
RECYCLING,375.11,PET,PROCESSED,Premium,SCN-4,95.35,4.65,357.66
INWARD,7436.96,PRODUCT,GRANULE,Rejected,SCN-3,99.7,0.3,7414.31
TRANSFER,449.23,PP,RAW,Standard,SCN-6,99.01,0.99,444.76
PRODUCTION,482.95,HDPE,RAW,Food Grade,SCN-6,99.85,0.15,482.22
RECYCLING,2015.66,PRODUCT,BALE,Food Grade,SCN-3,98.35,1.65,1982.42
RECEIPT,1084.73,PET,GRANULE,Food Grade,SCN-3,100.0,0.0,1084.73
QUALITY_CONTROL,358.66,HDPE,SORTED,Standard,SCN-6,93.37,6.63,334.89
RECYCLING,1255.35,MIXED,PROCESSED,Unknown,SCN-1,87.87,12.13,1103.08
QC_PASS,885.26,PVC,WASHED,Food Grade,SCN-1,100.0,0.0,885.26
WASHING,642.57,PRODUCT,BALE,Premium,SCN-4,96.14,3.86,617.73
QUALITY_CONTROL,1119.87,HDPE,PROCESSED,Premium,SCN-5,77.45,22.55,867.37
INWARD,1408.03,LDPE,SORTED,Grade A,SCN-5,99.56,0.44,1401.82
RECEIPT,266.1,PET,WASHED,Rejected,SCN-2,100.0,0.0,266.1
QC_PASS,399.99,FLAKE,GRANULE,Unknown,SCN-3,100.0,0.0,399.99
INWARD,830.11,LDPE,RAW,Standard,SCN-1,99.83,0.17,828.72
QC_PASS,1172.36,GRANULE,GRANULE,Rejected,SCN-1,99.97,0.03,1171.97
MANUFACTURING,179.14,PVC,SORTED,Unknown,SCN-4,92.06,7.94,164.92
SEGREGATION,445.69,PVC,BALE,Premium,SCN-6,84.67,15.33,377.38
RECEIPT,284.48,FLAKE,PROCESSED,Standard,SCN-5,99.6,0.4,283.34
RECEIPT,1874.89,MIXED,PROCESSED,Premium,SCN-2,100.0,0.0,1874.89
QC_PASS,514.12,GRANULE,BALE,Grade C,SCN-3,99.71,0.29,512.6
SEGREGATION,242.72,LDPE,WASHED,Standard,SCN-1,80.17,19.83,194.6
SEGREGATION,882.74,FLAKE,GRANULE,Standard,SCN-6,96.39,3.61,850.88
QC_FAIL,5261.79,PET,BALE,Food Grade,SCN-1,0.14,99.86,7.33
QC_PASS,198.5,LDPE,WASHED,Grade A,SCN-2,99.91,0.09,198.31
PRODUCTION,669.73,HDPE,RAW,Grade A,SCN-6,99.01,0.99,663.08
MIXING,156.11,GRANULE,RAW,Rejected,SCN-1,94.55,5.45,147.6
INWARD,253.09,PP,FLAKE,Unknown,SCN-6,100.0,0.0,253.09
QC_FAIL,1486.61,LDPE,FLAKE,Grade C,SCN-2,0.0,100.0,0.0
QUALITY_CONTROL,101.5,FLAKE,GRANULE,Rejected,SCN-4,50.04,49.96,50.79
TRANSFER,905.47,HDPE,FLAKE,Rejected,SCN-2,97.44,2.56,882.27
RECYCLING,984.45,GRANULE,BALE,Unknown,SCN-3,97.28,2.72,957.68
MIXING,134.25,PVC,SORTED,Technical Grade,SCN-2,95.04,4.96,127.6
SEGREGATION,1115.07,PVC,FLAKE,Grade A,SCN-1,86.18,13.82,960.94
QUALITY_CONTROL,609.87,LDPE,RAW,Grade A,SCN-2,87.74,12.26,535.1
PRODUCTION,795.99,GRANULE,SORTED,Unknown,SCN-6,99.87,0.13,794.96
SEGREGATION,488.07,PET,BALE,Unknown,SCN-4,93.73,6.27,457.48
MANUFACTURING,441.11,PP,SORTED,Grade C,SCN-5,92.11,7.89,406.29
MANUFACTURING,799.95,FLAKE,SORTED,Rejected,SCN-2,92.08,7.92,736.6
QUALITY_CONTROL,172.18,LDPE,GRANULE,Rejected,SCN-3,50.47,49.53,86.91
INWARD,1578.52,LDPE,BALE,Unknown,SCN-2,100.0,0.0,1578.52
TRANSFER,385.19,MIXED,SORTED,Food Grade,SCN-2,96.88,3.12,373.17
QC_PASS,334.04,PVC,BALE,Standard,SCN-2,99.94,0.06,333.85
PRODUCTION,1495.27,MIXED,RAW,Unknown,SCN-6,92.82,7.18,1387.84
RECYCLING,640.01,PRODUCT,GRANULE,Unknown,SCN-6,96.64,3.36,618.49
BALING,379.33,PP,FLAKE,Premium,SCN-6,100.0,0.0,379.33
TRANSFER,1165.01,PVC,WASHED,Grade C,SCN-2,97.03,2.97,1130.38
RECYCLING,1351.55,HDPE,SORTED,Unknown,SCN-6,93.89,6.11,1268.91
RECEIPT,2693.48,MIXED,BALE,Food Grade,SCN-6,100.0,0.0,2693.48
QC_PASS,130.87,PRODUCT,GRANULE,Grade A,SCN-1,99.66,0.34,130.42
TRANSFER,825.01,PVC,GRANULE,Technical Grade,SCN-3,97.01,2.99,800.34
BALING,537.33,MIXED,BALE,Grade A,SCN-5,97.75,2.25,525.24
MANUFACTURING,799.0,GRANULE,SORTED,Rejected,SCN-5,91.51,8.49,731.18
RECYCLING,506.54,GRANULE,FLAKE,Grade A,SCN-3,96.96,3.04,491.14
RECEIPT,144.44,GRANULE,FLAKE,Rejected,SCN-3,100.0,0.0,144.44
MANUFACTURING,766.41,PVC,PROCESSED,Food Grade,SCN-1,97.65,2.35,748.44
QUALITY_CONTROL,1397.84,LDPE,GRANULE,Rejected,SCN-2,49.7,50.3,694.73
BALING,116.97,FLAKE,PROCESSED,Technical Grade,SCN-1,100.0,0.0,116.97
RECYCLING,1676.79,MIXED,SORTED,Rejected,SCN-1,79.53,20.47,1333.57
QC_FAIL,314.48,PET,SORTED,Technical Grade,SCN-4,0.25,99.75,0.78
QC_FAIL,569.32,FLAKE,GRANULE,Standard,SCN-2,0.08,99.92,0.46
PRODUCTION,293.17,LDPE,RAW,Standard,SCN-1,94.31,5.69,276.49
MANUFACTURING,719.41,FLAKE,BALE,Grade A,SCN-1,99.57,0.43,716.28
QUALITY_CONTROL,622.58,PRODUCT,RAW,Food Grade,SCN-6,83.84,16.16,521.96
BALING,790.41,PP,BALE,Rejected,SCN-5,98.44,1.56,778.07
QC_FAIL,167.0,PET,RAW,Grade C,SCN-3,0.43,99.57,0.73
QC_FAIL,102.72,PP,FLAKE,Grade C,SCN-3,0.32,99.68,0.33
QC_PASS,505.98,PP,SORTED,Unknown,SCN-1,100.0,0.0,505.98
RECEIPT,1218.78,PVC,WASHED,Food Grade,SCN-3,99.71,0.29,1215.26
MIXING,1015.58,PRODUCT,PROCESSED,Food Grade,SCN-3,100.0,0.0,1015.58
RECYCLING,537.01,LDPE,PROCESSED,Unknown,SCN-3,94.48,5.52,507.36
RECEIPT,3737.7,PP,BALE,Rejected,SCN-3,100.0,0.0,3737.7
QUALITY_CONTROL,262.56,HDPE,WASHED,Premium,SCN-4,70.43,29.57,184.92
RECEIPT,1360.86,MIXED,FLAKE,Grade B,SCN-2,99.61,0.39,1355.5
MANUFACTURING,973.75,PET,FLAKE,Standard,SCN-6,99.64,0.36,970.21
PRODUCTION,1301.59,PET,BALE,Premium,SCN-6,99.09,0.91,1289.71
MIXING,179.08,PP,SORTED,Food Grade,SCN-3,100.0,0.0,179.08
SEGREGATION,65.32,PVC,BALE,Grade C,SCN-1,84.72,15.28,55.34
WASHING,197.51,FLAKE,PROCESSED,Rejected,SCN-4,85.17,14.83,168.23
QC_PASS,1435.47,HDPE,FLAKE,Food Grade,SCN-4,100.0,0.0,1435.47
TRANSFER,334.49,PET,FLAKE,Rejected,SCN-5,96.92,3.08,324.21
PRODUCTION,1123.57,PVC,WASHED,Grade A,SCN-3,97.11,2.89,1091.12
BALING,1368.04,PVC,FLAKE,Technical Grade,SCN-2,97.62,2.38,1335.46
RECYCLING,342.44,MIXED,GRANULE,Standard,SCN-2,91.6,8.4,313.68
WASHING,1778.46,FLAKE,WASHED,Grade B,SCN-2,97.49,2.51,1733.86
MANUFACTURING,1190.46,PP,GRANULE,Rejected,SCN-5,91.62,8.38,1090.68
RECEIPT,450.01,PVC,GRANULE,Premium,SCN-5,100.0,0.0,450.01
MANUFACTURING,704.17,PVC,FLAKE,Standard,SCN-6,94.1,5.9,662.62
RECEIPT,253.11,HDPE,BALE,Food Grade,SCN-5,99.53,0.47,251.92
PRODUCTION,540.17,PP,BALE,Rejected,SCN-6,92.8,7.2,501.25
QUALITY_CONTROL,10000.0,PET,WASHED,Grade A,SCN-1,99.87,0.13,9986.93
WASHING,2842.82,PP,SORTED,Standard,SCN-2,97.72,2.28,2778.04
BALING,4498.14,PVC,GRANULE,Unknown,SCN-5,98.05,1.95,4410.34
QC_FAIL,579.46,GRANULE,SORTED,Food Grade,SCN-2,0.0,100.0,0.0
INWARD,895.38,PVC,SORTED,Grade B,SCN-4,100.0,0.0,895.38
QC_PASS,327.7,HDPE,PROCESSED,Grade A,SCN-5,99.74,0.26,326.86
MIXING,297.39,PVC,PROCESSED,Rejected,SCN-1,94.66,5.34,281.52
SEGREGATION,286.13,MIXED,BALE,Grade C,SCN-3,82.34,17.66,235.6
QC_PASS,900.94,PRODUCT,SORTED,Grade C,SCN-5,100.0,0.0,900.94
BALING,3482.16,PRODUCT,BALE,Rejected,SCN-2,97.66,2.34,3400.78
PRODUCTION,2927.85,FLAKE,RAW,Standard,SCN-4,98.87,1.13,2894.83
QC_FAIL,204.57,HDPE,FLAKE,Unknown,SCN-4,0.0,100.0,0.0
QC_FAIL,719.18,GRANULE,WASHED,Rejected,SCN-1,0.21,99.79,1.54
RECYCLING,1042.35,HDPE,RAW,Unknown,SCN-4,93.77,6.23,977.4
MIXING,2273.82,MIXED,GRANULE,Technical Grade,SCN-2,94.69,5.31,2153.06
QUALITY_CONTROL,1060.35,PP,RAW,Technical Grade,SCN-5,81.79,18.21,867.23
MIXING,442.02,MIXED,SORTED,Rejected,SCN-3,94.5,5.5,417.71
QUALITY_CONTROL,625.04,HDPE,RAW,Standard,SCN-6,90.62,9.38,566.41
RECEIPT,248.51,HDPE,WASHED,Grade A,SCN-4,100.0,0.0,248.51
MIXING,644.01,PVC,BALE,Rejected,SCN-2,95.23,4.77,613.32
QUALITY_CONTROL,1193.41,HDPE,FLAKE,Grade B,SCN-5,85.12,14.88,1015.84
QC_PASS,551.87,PET,FLAKE,Food Grade,SCN-6,100.0,0.0,551.87
BALING,368.97,PET,PROCESSED,Standard,SCN-2,100.0,0.0,368.97
QUALITY_CONTROL,137.06,PRODUCT,BALE,Unknown,SCN-5,88.92,11.08,121.87
PRODUCTION,571.76,PP,BALE,Technical Grade,SCN-3,96.63,3.37,552.47
MIXING,820.98,PP,WASHED,Unknown,SCN-5,100.0,0.0,820.98
RECEIPT,151.86,FLAKE,WASHED,Rejected,SCN-4,100.0,0.0,151.86
BALING,1922.48,LDPE,GRANULE,Standard,SCN-6,98.25,1.75,1888.9
MIXING,289.67,PET,WASHED,Grade B,SCN-2,100.0,0.0,289.67
MANUFACTURING,1782.42,LDPE,SORTED,Grade A,SCN-4,99.16,0.84,1767.49
SEGREGATION,1777.02,PRODUCT,WASHED,Food Grade,SCN-4,94.77,5.23,1684.0
INWARD,972.4,PRODUCT,FLAKE,Grade C,SCN-5,99.88,0.12,971.25
SEGREGATION,1123.22,PVC,BALE,Premium,SCN-4,98.9,1.1,1110.85
WASHING,461.49,PP,WASHED,Standard,SCN-4,94.69,5.31,436.98
MANUFACTURING,2289.51,PRODUCT,WASHED,Unknown,SCN-1,96.06,3.94,2199.34
BALING,874.83,LDPE,WASHED,Grade B,SCN-3,98.33,1.67,860.24
QUALITY_CONTROL,564.92,GRANULE,GRANULE,Rejected,SCN-4,49.87,50.13,281.75
PRODUCTION,854.45,HDPE,RAW,Grade A,SCN-1,99.83,0.17,853.02
RECEIPT,272.37,LDPE,WASHED,Grade B,SCN-1,100.0,0.0,272.37
QC_FAIL,1678.53,LDPE,FLAKE,Technical Grade,SCN-6,0.0,100.0,0.0
MANUFACTURING,346.76,MIXED,WASHED,Standard,SCN-2,92.32,7.68,320.12
SEGREGATION,2218.61,PP,FLAKE,Grade A,SCN-5,97.21,2.79,2156.7
PRODUCTION,1414.16,PET,FLAKE,Grade B,SCN-4,99.66,0.34,1409.33
RECYCLING,924.05,MIXED,RAW,Grade C,SCN-1,81.48,18.52,752.96
SEGREGATION,568.38,MIXED,BALE,Technical Grade,SCN-4,83.91,16.09,476.91
INWARD,451.53,FLAKE,FLAKE,Technical Grade,SCN-6,99.63,0.37,449.87
MIXING,189.94,MIXED,PROCESSED,Standard,SCN-6,95.02,4.98,180.48
TRANSFER,101.01,PVC,BALE,Standard,SCN-6,97.33,2.67,98.31
WASHING,894.77,PET,GRANULE,Rejected,SCN-4,84.97,15.03,760.3
QC_PASS,209.87,LDPE,FLAKE,Standard,SCN-6,99.61,0.39,209.05
WASHING,214.77,PP,FLAKE,Unknown,SCN-4,93.29,6.71,200.36
SEGREGATION,760.4,PP,FLAKE,Technical Grade,SCN-5,91.86,8.14,698.48
SEGREGATION,1167.91,MIXED,RAW,Technical Grade,SCN-4,75.7,24.3,884.13
PRODUCTION,377.02,GRANULE,BALE,Grade C,SCN-1,97.26,2.74,366.7
QC_PASS,334.72,GRANULE,WASHED,Grade A,SCN-6,100.0,0.0,334.72
BALING,561.34,PRODUCT,PROCESSED,Technical Grade,SCN-2,97.77,2.23,548.81
RECYCLING,4027.66,GRANULE,RAW,Rejected,SCN-4,79.7,20.3,3210.06
RECYCLING,1744.26,MIXED,FLAKE,Grade C,SCN-1,80.47,19.53,1403.59
MIXING,474.05,HDPE,WASHED,Standard,SCN-2,95.96,4.04,454.91
TRANSFER,624.2,LDPE,BALE,Grade B,SCN-1,96.89,3.11,604.78
SEGREGATION,1176.85,GRANULE,SORTED,Technical Grade,SCN-5,89.71,10.29,1055.71
MANUFACTURING,4070.43,LDPE,GRANULE,Technical Grade,SCN-5,93.29,6.71,3797.19
BALING,457.23,GRANULE,WASHED,Technical Grade,SCN-4,99.83,0.17,456.47
QC_PASS,1638.43,FLAKE,GRANULE,Rejected,SCN-6,100.0,0.0,1638.43
QC_FAIL,1393.64,LDPE,WASHED,Premium,SCN-5,0.0,100.0,0.0
RECYCLING,1440.99,HDPE,SORTED,Unknown,SCN-5,97.32,2.68,1402.31
WASHING,758.04,LDPE,SORTED,Unknown,SCN-1,90.92,9.08,689.19
RECEIPT,1667.22,GRANULE,GRANULE,Grade A,SCN-3,99.67,0.33,1661.79
RECYCLING,184.38,PRODUCT,RAW,Rejected,SCN-1,79.84,20.16,147.2
QC_FAIL,680.75,GRANULE,RAW,Technical Grade,SCN-2,0.4,99.6,2.75
SEGREGATION,249.94,MIXED,PROCESSED,Food Grade,SCN-5,85.38,14.62,213.39
RECEIPT,559.62,PET,RAW,Premium,SCN-1,99.84,0.16,558.7
INWARD,2350.75,GRANULE,BALE,Rejected,SCN-6,99.55,0.45,2340.28
QC_PASS,1753.85,PP,GRANULE,Premium,SCN-5,99.71,0.29,1748.72
RECYCLING,378.39,PET,RAW,Unknown,SCN-3,95.76,4.24,362.35
TRANSFER,967.99,HDPE,GRANULE,Standard,SCN-5,99.28,0.72,960.97
QUALITY_CONTROL,690.86,MIXED,SORTED,Grade A,SCN-1,74.61,25.39,515.44
MIXING,924.36,PVC,SORTED,Rejected,SCN-1,94.54,5.46,873.85
MANUFACTURING,1249.89,FLAKE,BALE,Food Grade,SCN-3,100.0,0.0,1249.87
PRODUCTION,2049.99,PRODUCT,BALE,Premium,SCN-4,99.1,0.9,2031.57
RECEIPT,79.54,PP,WASHED,Technical Grade,SCN-4,100.0,0.0,79.54
MANUFACTURING,458.14,FLAKE,SORTED,Food Grade,SCN-2,100.0,0.0,458.12
QUALITY_CONTROL,1077.81,MIXED,RAW,Premium,SCN-4,92.24,7.76,994.18
INWARD,3475.93,PVC,BALE,Technical Grade,SCN-6,100.0,0.0,3475.93
WASHING,864.04,HDPE,WASHED,Standard,SCN-3,93.38,6.62,806.87
QUALITY_CONTROL,119.09,PRODUCT,SORTED,Rejected,SCN-1,50.16,49.84,59.74
QC_FAIL,227.43,MIXED,BALE,Standard,SCN-1,0.0,100.0,0.0
QUALITY_CONTROL,1381.28,HDPE,SORTED,Standard,SCN-5,72.58,27.42,1002.53
MIXING,642.26,LDPE,SORTED,Unknown,SCN-1,94.82,5.18,608.98
TRANSFER,9828.42,PVC,PROCESSED,Grade B,SCN-6,96.64,3.36,9498.59
SEGREGATION,1316.36,FLAKE,FLAKE,Food Grade,SCN-2,92.27,7.73,1214.61
BALING,677.49,MIXED,WASHED,Rejected,SCN-4,98.46,1.54,667.05
MANUFACTURING,246.58,MIXED,BALE,Technical Grade,SCN-3,91.57,8.43,225.79
INWARD,575.77,MIXED,PROCESSED,Grade C,SCN-5,100.0,0.0,575.77
BALING,1190.64,HDPE,WASHED,Technical Grade,SCN-2,98.44,1.56,1172.04
MANUFACTURING,1610.09,PVC,BALE,Premium,SCN-6,93.86,6.14,1511.3
PRODUCTION,173.13,FLAKE,WASHED,Premium,SCN-1,99.69,0.31,172.6
QC_FAIL,1751.28,FLAKE,GRANULE,Unknown,SCN-1,0.0,100.0,0.0
MIXING,461.17,PP,WASHED,Standard,SCN-6,98.78,1.22,455.55
WASHING,260.39,HDPE,BALE,Premium,SCN-4,96.3,3.7,250.75
QC_FAIL,345.01,MIXED,WASHED,Grade B,SCN-4,0.0,100.0,0.0
WASHING,1111.28,LDPE,BALE,Food Grade,SCN-5,94.85,5.15,1054.02
RECEIPT,366.35,FLAKE,PROCESSED,Grade B,SCN-4,100.0,0.0,366.35
TRANSFER,163.86,PVC,GRANULE,Rejected,SCN-1,97.5,2.5,159.76
RECEIPT,683.56,PET,WASHED,Grade B,SCN-4,99.73,0.27,681.73
RECYCLING,1221.11,MIXED,SORTED,Food Grade,SCN-1,90.43,9.57,1104.23
SEGREGATION,925.84,GRANULE,FLAKE,Grade C,SCN-4,94.14,5.86,871.59
SEGREGATION,236.84,FLAKE,RAW,Rejected,SCN-6,70.43,29.57,166.8
TRANSFER,185.05,PP,FLAKE,Premium,SCN-6,99.58,0.42,184.27
MIXING,383.54,PP,FLAKE,Premium,SCN-3,99.62,0.38,382.09
QC_FAIL,853.56,PET,GRANULE,Standard,SCN-5,0.17,99.83,1.48
MANUFACTURING,644.88,LDPE,SORTED,Grade A,SCN-2,98.33,1.67,634.09
RECEIPT,1915.65,PRODUCT,FLAKE,Standard,SCN-6,99.69,0.31,1909.68
QC_FAIL,3252.98,GRANULE,RAW,Standard,SCN-5,0.0,100.0,0.0
QC_FAIL,2695.9,GRANULE,RAW,Grade B,SCN-1,0.0,100.0,0.0
MANUFACTURING,1149.1,PET,PROCESSED,Rejected,SCN-3,91.6,8.4,1052.58
RECYCLING,2675.8,LDPE,GRANULE,Grade C,SCN-1,86.9,13.1,2325.18
INWARD,1078.62,PP,PROCESSED,Grade B,SCN-1,100.0,0.0,1078.62
SEGREGATION,412.54,PET,SORTED,Grade C,SCN-2,87.75,12.25,362.01
QC_FAIL,148.79,LDPE,FLAKE,Unknown,SCN-3,0.0,100.0,0.0
INWARD,373.92,PP,PROCESSED,Grade A,SCN-1,100.0,0.0,373.92
PRODUCTION,4180.49,MIXED,GRANULE,Grade C,SCN-2,92.6,7.4,3870.99
INWARD,1574.69,FLAKE,RAW,Rejected,SCN-2,100.0,0.0,1574.69
MIXING,1009.22,PP,FLAKE,Food Grade,SCN-5,99.63,0.37,1005.49
WASHING,1552.16,HDPE,RAW,Food Grade,SCN-3,97.86,2.14,1518.9
SEGREGATION,1930.4,PET,BALE,Food Grade,SCN-3,96.26,3.74,1858.2
QC_PASS,733.49,HDPE,RAW,Standard,SCN-5,99.92,0.08,732.89
WASHING,398.23,PVC,PROCESSED,Premium,SCN-1,92.38,7.62,367.9
SEGREGATION,716.3,GRANULE,WASHED,Rejected,SCN-6,69.9,30.1,500.67
MIXING,226.47,LDPE,RAW,Unknown,SCN-2,96.97,3.03,219.61
RECEIPT,866.61,PRODUCT,SORTED,Rejected,SCN-2,100.0,0.0,866.61
INWARD,753.01,PET,FLAKE,Unknown,SCN-3,100.0,0.0,753.01
RECEIPT,1417.38,HDPE,WASHED,Grade C,SCN-5,100.0,0.0,1417.38
MANUFACTURING,812.94,PVC,PROCESSED,Grade C,SCN-1,92.29,7.71,750.28
RECYCLING,451.37,MIXED,FLAKE,Rejected,SCN-5,80.39,19.61,362.85
WASHING,2654.51,PRODUCT,SORTED,Grade B,SCN-5,92.13,7.87,2445.54
QC_PASS,479.27,PRODUCT,RAW,Grade C,SCN-3,99.99,0.01,479.24
QC_PASS,647.68,LDPE,BALE,Technical Grade,SCN-6,100.0,0.0,647.68
RECYCLING,1373.55,FLAKE,WASHED,Grade C,SCN-6,98.1,1.9,1347.46
MANUFACTURING,4964.21,PVC,FLAKE,Technical Grade,SCN-2,91.91,8.09,4562.69
WASHING,212.09,MIXED,BALE,Unknown,SCN-2,86.99,13.01,184.5
QC_FAIL,515.46,PVC,FLAKE,Grade B,SCN-6,0.0,100.0,0.0
INWARD,832.33,MIXED,SORTED,Grade A,SCN-1,99.75,0.25,830.27
QUALITY_CONTROL,2080.05,GRANULE,WASHED,Grade C,SCN-2,89.65,10.35,1864.67
QC_FAIL,340.74,MIXED,GRANULE,Grade C,SCN-4,0.41,99.59,1.38
BALING,213.22,MIXED,RAW,Grade A,SCN-5,98.13,1.87,209.24
MIXING,434.3,PP,GRANULE,Rejected,SCN-4,94.63,5.37,410.98
TRANSFER,1751.11,GRANULE,BALE,Food Grade,SCN-4,99.51,0.49,1742.5
